dataset,res,clf,accuracy,precision-0,precision-1,recall-0,recall-1,f1-0,f1-1
creditcard,smote,lr,0.95889649859072,0.9691656834268332,0.9283488609297773,0.9762616629602182,0.9070660087719284,0.9726577895523497,0.9172008943743002
creditcard,smote,svm,0.9529826068011178,0.9716801794332431,0.9003854681673024,0.9655238942426494,0.9155632675438601,0.9685025080751057,0.9072085388442732
creditcard,smote,mlp,0.9579382300540868,0.9688835474782808,0.9256889217392683,0.9752593649616987,0.9062425438596444,0.9720060647452416,0.9153900052569103
creditcard,smote,dt,0.9234153700036627,0.9207707789897677,0.9580891076230471,0.9848765999505766,0.7399222587719294,0.9507479226706197,0.8242346870525527
creditcard,smote,knn,0.9493703868958123,0.9708857523725782,0.8897396651009052,0.9613852853965886,0.9135310307017561,0.9660093338255588,0.9006978721984774
creditcard,bsmote,lr,0.9283842038562065,0.9844481979176622,0.8028215750085486,0.9188998023227077,0.9567325657894772,0.9502708972017806,0.8717593941292706
creditcard,bsmote,svm,0.9295981033729331,0.9793572405572142,0.8124517146318024,0.925565542377069,0.9416736842105312,0.9515100818578609,0.8713108124068579
creditcard,bsmote,mlp,0.9171201581254633,0.9809749949539585,0.7786398161722645,0.9069665801828527,0.9474600877192981,0.9421702377105947,0.853301354945943
creditcard,bsmote,dt,0.8861641428847973,0.9270990767928537,0.8741935065371297,0.926000963676794,0.767215021929824,0.9155034902809989,0.7886988069496484
creditcard,bsmote,knn,0.9387089280761189,0.9771649262168791,0.8421714807066984,0.9402278972078066,0.9342055921052678,0.9582024393096045,0.8849737460503765
creditcard,adasyn,lr,0.9139560223299441,0.9867451013331168,0.7664854444603173,0.8971602792191742,0.9641287280701779,0.9392546064050408,0.851847686479629
creditcard,adasyn,svm,0.9103512391287195,0.9805823982595047,0.763943484462695,0.8980638127007672,0.9470587719298271,0.9370264766444192,0.843790174660582
creditcard,adasyn,mlp,0.8946151900563573,0.9836018297656711,0.7258284963390262,0.8739066963182611,0.9564664473684218,0.9247933719920006,0.8229928071394095
creditcard,adasyn,dt,0.8931211856876161,0.9258870299836283,0.8865106881558948,0.9368595379293266,0.7625305921052628,0.9228205091900618,0.7943843661949653
creditcard,adasyn,knn,0.9129166115926636,0.9777385658397797,0.7702213138885361,0.9044198912774906,0.9383156798245654,0.9394131334921505,0.8449154466864002
creditcard,ros,lr,0.9597808882077933,0.9680502668528346,0.9350666057645953,0.978685594267359,0.9033507675438575,0.9732946687018443,0.9185314816418342
creditcard,ros,svm,0.9553941678412345,0.9699499667600996,0.9137914683119148,0.9706811341734625,0.9097732456140345,0.9702238479681495,0.9110303839430202
creditcard,ros,mlp,0.9589124679388094,0.9681879012490121,0.9316157418073601,0.9773628984432883,0.9038444078947364,0.9726930302863892,0.916989652758025
creditcard,ros,dt,0.9239901108624166,0.9209402099949716,0.9594557989729052,0.9854221522115113,0.7405839912280697,0.9511309848447195,0.8255441841156776
creditcard,ros,knn,0.9482878379934835,0.970742975497628,0.8861556859708569,0.9600444526809971,0.9132236842105279,0.9652633633583567,0.8987420810699284
creditcard,rus,lr,0.9594010863903871,0.9676768854673216,0.9347369335296073,0.9785661477637738,0.9021935307017578,0.9730439027038356,0.9177459601282735
creditcard,rus,svm,0.9455132552310305,0.9717794967266312,0.8741961625925377,0.9551214109216709,0.91684254385965,0.9632795053685058,0.8943148140430379
creditcard,rus,mlp,0.9599794214204084,0.964825545841431,0.9464246749941893,0.9825133185075327,0.8927221491228081,0.9735125777735041,0.9180844018785231
creditcard,rus,dt,0.9236631424040402,0.923024529254196,0.9510432919978515,0.9823835680751142,0.7483492324561394,0.9506931587056792,0.8267614191236049
creditcard,rus,knn,0.949644038338946,0.9699526970768738,0.8926597837772604,0.9627276995305165,0.9106141447368431,0.966238042527793,0.9008634147805336
creditcard,tl,lr,0.9628846637660919,0.9606447550549024,0.971202115874852,0.9911375216209469,0.8785526315789497,0.9756228909682515,0.922228753498266
creditcard,tl,svm,0.9599803559654436,0.9637169802017111,0.9489357956122043,0.9837417469730597,0.8890493421052637,0.9735753144876833,0.9175170196883833
creditcard,tl,mlp,0.9631502745135055,0.959707914926845,0.9756847465031587,0.9925597356066166,0.8753712719298249,0.975827280573891,0.9224834743316992
creditcard,tl,dt,0.9254202934230925,0.9161141194840493,0.9783507758185105,0.9932004447739032,0.7230609649122793,0.9525903344607382,0.8238049268341402
creditcard,tl,knn,0.9624539118400471,0.9633032023056576,0.9605079179322588,0.9876363602668571,0.8872986842105247,0.975272937405888,0.9219894617678932
creditcard,noRes,lr,0.9625762752767417,0.9596670275112602,0.9732538465349391,0.9918095749938163,0.8753165570175448,0.975442898570903,0.9213505901717643
creditcard,noRes,svm,0.9608999952981264,0.9626282322878679,0.9561407280208893,0.9862115270570719,0.8853414473684209,0.9742326099334931,0.9189287965770677
creditcard,noRes,mlp,0.9632449704601538,0.9591818623972845,0.9779356070658054,0.9932808870768421,0.8735959429824569,0.9759055674911352,0.9225179160847566
creditcard,noRes,dt,0.9253782571209019,0.915777288376048,0.9796158775540198,0.9935698418581631,0.7217915570175426,0.9525827522245022,0.823460399668299
creditcard,noRes,knn,0.9635264607824694,0.9623361950089706,0.9682643629919198,0.9901941808747132,0.8839370614035078,0.9760261609753871,0.9237528417472505
