dataset,res,clf,accuracy,precision-0,precision-1,recall-0,recall-1,f1-0,f1-1
segmentation,smote,lr,0.9953318373453012,0.9964131920270235,0.9907647907647907,0.9978365322182686,0.9847086247086247,0.997120996538613,0.9876662618551932
segmentation,smote,svm,0.9964980280157759,0.9964080348624327,0.996875,0.9992779783393502,0.9847086247086247,0.9978404257039806,0.9907450144978993
segmentation,smote,mlp,0.995328437372501,0.9978443052010004,0.9850663959613696,0.996392488896969,0.9908158508158508,0.9971105629116689,0.9878070820580653
segmentation,smote,dt,0.9854141166870665,0.9970933898337806,0.939198472380516,0.9848557255278809,0.987832167832168,0.9909293660151295,0.9627847396268449
segmentation,smote,knn,0.9906636746906026,0.9985480895915678,0.9586918349429323,0.9899046827519934,0.9938927738927739,0.9942068012165303,0.9759616136678193
segmentation,bsmote,lr,0.9673160614715082,0.9978181818181818,0.8618157994173039,0.9617821987897047,0.9907692307692308,0.9793967213016346,0.9208942237728677
segmentation,bsmote,svm,0.9883176934584524,0.998532065612627,0.9480127280459488,0.987013998909176,0.9938461538461538,0.9927311293997653,0.9702570150867362
segmentation,bsmote,mlp,0.9941588467292262,0.9985585164407043,0.976668605026814,0.9942264239150196,0.9938927738927739,0.9963740886291695,0.9849819629650887
segmentation,bsmote,dt,0.9871617027063783,0.9992727272727272,0.9395445134575569,0.9848557255278809,0.9969696969696968,0.9920091580734868,0.967363184079602
segmentation,bsmote,knn,0.9900822793417653,0.9985401265401265,0.9561768580950167,0.9891852582915617,0.9938927738927739,0.9938372490211138,0.9746142983323892
segmentation,adasyn,lr,0.9702400380796954,0.9985454545454544,0.8712547821559724,0.964670285432304,0.9938461538461538,0.9812564522139902,0.9277500512007555
segmentation,adasyn,svm,0.9883176934584524,0.998532065612627,0.9480127280459488,0.987013998909176,0.9938461538461538,0.9927311293997653,0.9702570150867362
segmentation,adasyn,mlp,0.9941588467292262,0.998561132461214,0.9766219849801938,0.9942264239150196,0.9938927738927739,0.9963753942741256,0.9849584750026693
segmentation,adasyn,dt,0.9865769073847408,0.9985401265401265,0.9393374741200828,0.9848557255278809,0.9938927738927739,0.991648833516441,0.9658153676064124
segmentation,adasyn,knn,0.9883312933496532,0.9985374722600999,0.9476921203263915,0.9870217905098304,0.9938927738927739,0.9927443886748524,0.9702136156897951
segmentation,ros,lr,0.9935808513531892,0.9964182939362797,0.9823451910408432,0.9956730644365374,0.9847086247086247,0.9960294063427242,0.9832448352368438
segmentation,ros,svm,0.995328437372501,0.9964028216417049,0.990814393939394,0.9978339350180505,0.9847086247086247,0.9971157951059322,0.9877152494230428
segmentation,ros,mlp,0.9941588467292262,0.9978443052010004,0.97960421108742,0.9949484455756694,0.9908158508158508,0.9963779985064972,0.9849109528461467
segmentation,ros,dt,0.9836597307221542,0.9956308817536254,0.9360514744509094,0.9841337038672311,0.9816783216783218,0.989843093453447,0.9582297368628868
segmentation,ros,knn,0.9900788793689651,0.997820816864295,0.9585601404741,0.9899046827519934,0.9908158508158508,0.9938464550738122,0.9744122858027021
segmentation,rus,lr,0.9906670746634028,0.9970934487976972,0.9646994624644737,0.991348726073293,0.9877855477855478,0.9942067847486594,0.9760056707425129
segmentation,rus,svm,0.9947470420236637,0.9971196863401325,0.9848457015621195,0.996392488896969,0.9877855477855478,0.9967528281098202,0.9862588302282959
segmentation,rus,mlp,0.9900754793961648,0.99709869986432,0.9616691594341706,0.9906215100122069,0.9877855477855478,0.9938424505054039,0.9744352361737512
segmentation,rus,dt,0.9696824425404597,0.9934103655357344,0.8824773711386017,0.9690128041970756,0.9724941724941726,0.9810159539843315,0.9246841887446384
segmentation,rus,knn,0.9760777913776689,1.0,0.8897584257447271,0.970438667116848,1.0,0.9849724089205946,0.9413538964157329
segmentation,tl,lr,0.9970862233102136,0.9971300379051599,0.9969696969696968,0.9992805755395683,0.9877855477855478,0.9982020846518477,0.992317979412445
segmentation,tl,svm,0.9970828233374134,0.9964131920270235,1.0,1.0,0.9847086247086247,0.9982020823246298,0.992271177288597
segmentation,tl,mlp,0.9976676186590506,0.9971326164874551,1.0,1.0,0.9877855477855478,0.9985624426849903,0.9938215648854962
segmentation,tl,dt,0.9859887120903033,0.9913947304477017,0.9638624939484771,0.9913383372724203,0.9633566433566434,0.9913445462499901,0.9632321236555879
segmentation,tl,knn,0.9935808513531891,0.9971092785165997,0.9789235639981909,0.9949536399761059,0.9877389277389277,0.9960282162813808,0.9832742694656045
segmentation,noRes,lr,0.9970862233102136,0.9971300379051599,0.9969696969696968,0.9992805755395683,0.9877855477855478,0.9982020846518477,0.992317979412445
segmentation,noRes,svm,0.9970828233374134,0.9964131920270235,1.0,1.0,0.9847086247086247,0.9982020823246298,0.992271177288597
segmentation,noRes,mlp,0.9976676186590506,0.9971326164874551,1.0,1.0,0.9877855477855478,0.9985624426849903,0.9938215648854962
segmentation,noRes,dt,0.9859887120903033,0.9913947304477017,0.9638624939484771,0.9913383372724203,0.9633566433566434,0.9913445462499901,0.9632321236555879
segmentation,noRes,knn,0.9941656466748265,0.9971118945371092,0.9819072469818739,0.9956756616367557,0.9877389277389277,0.9963911855791399,0.9847774990604371
