dataset,res,clf,accuracy,precision-0,precision-1,recall-0,recall-1,f1-0,f1-1
spambase,smote,lr,0.9128820960698689,0.9499013820774677,0.8625384051542465,0.904488330341113,0.9259052924791087,0.9265481666554584,0.8929338544214266
spambase,smote,svm,0.930349344978166,0.9564047972253004,0.893180273053779,0.9278276481149014,0.9342618384401116,0.941850488464155,0.9131611074317781
spambase,smote,mlp,0.9334061135371179,0.9620515494412473,0.8930502895901704,0.927109515260323,0.943175487465181,0.9442260054110587,0.9173681741897803
spambase,smote,dt,0.8820960698689955,0.9234145484688208,0.8261568537494967,0.8789946140035905,0.886908077994429,0.9005314996095946,0.8552109725030579
spambase,smote,knn,0.9137554585152838,0.9626293641908397,0.8511309440101009,0.8929982046678635,0.9459610027855152,0.9263857393512396,0.8958517371247618
spambase,bsmote,lr,0.8903930131004365,0.9616403312987473,0.8071572666186541,0.8538599640933573,0.9470752089136489,0.9044653389704802,0.8714247811631675
spambase,bsmote,svm,0.9146288209606986,0.9682947755761745,0.8470824746439106,0.8886894075403949,0.954874651810585,0.9267471172713687,0.8976939935391354
spambase,bsmote,mlp,0.9163755458515285,0.9655401260585681,0.8532105020965319,0.8944344703770197,0.9504178272980501,0.9285830688340528,0.8991200177054427
spambase,bsmote,dt,0.815938864628821,0.9324960759244219,0.7076682462385155,0.7543985637342907,0.9114206128133704,0.8322834673270062,0.7950389226564211
spambase,bsmote,knn,0.8951965065502184,0.9706433769601504,0.8089599019615313,0.8535008976660683,0.9598885793871867,0.9082076219704585,0.8778515791860746
spambase,adasyn,lr,0.895414847161572,0.9590823900887842,0.8186163252925589,0.8649910233393179,0.9426183844011142,0.9094995870122033,0.8760956981683504
spambase,adasyn,svm,0.9187772925764192,0.9696352782552499,0.8539585484852262,0.8944344703770197,0.9565459610027854,0.9304920925092708,0.9023049925195066
spambase,adasyn,mlp,0.9192139737991265,0.9700048670824397,0.8544059927388907,0.8947935368043087,0.9571030640668523,0.9308707058129068,0.9028249543541428
spambase,adasyn,dt,0.8430131004366812,0.9457595971232836,0.738577128964254,0.7870736086175942,0.9298050139275766,0.8588877094542792,0.8229784059637936
spambase,adasyn,knn,0.893231441048035,0.9747989040029635,0.8023909866135224,0.8463195691202872,0.9660167130919219,0.9059354734581999,0.876526445272682
spambase,ros,lr,0.9109170305676857,0.9497154797456562,0.8585282833572073,0.9012567324955116,0.9259052924791087,0.9247657009336528,0.8907876207782556
spambase,ros,svm,0.9299126637554587,0.9573753026657265,0.8909918055497592,0.926032315978456,0.9359331476323121,0.941395654497105,0.91281727667198
spambase,ros,mlp,0.9331877729257642,0.9610171702746424,0.8938718799963237,0.9278276481149014,0.9415041782729805,0.9440903441173933,0.9169909325484008
spambase,ros,dt,0.8783842794759826,0.9218791218372505,0.8200982302370775,0.8746858168761221,0.8841225626740947,0.8974428564636205,0.8505053986952928
spambase,ros,knn,0.9150655021834062,0.9612501580264936,0.8550884027163047,0.8965888689407541,0.9437325905292479,0.9276919294234197,0.8970613774214741
spambase,rus,lr,0.9124454148471616,0.9485115046085637,0.8630150309667075,0.9052064631956911,0.9236768802228413,0.9262823331383506,0.8921859984013618
spambase,rus,svm,0.9279475982532752,0.9562873710211772,0.8880512968897876,0.9238779174147217,0.9342618384401116,0.939725635858073,0.9104209870928761
spambase,rus,mlp,0.929475982532751,0.9597668348222441,0.8872489853298369,0.9228007181328547,0.93983286908078,0.9408537339717675,0.912656595994552
spambase,rus,dt,0.8724890829694324,0.9294474234637817,0.8022380998310625,0.8560143626570916,0.8980501392757659,0.8907246180519044,0.8466976569774151
spambase,rus,knn,0.9106986899563319,0.9656540294941752,0.842178283570532,0.8847396768402154,0.950974930362117,0.9233074412387967,0.8930878081753765
spambase,tl,lr,0.9133187772925764,0.9386465793631211,0.8765916710314083,0.9174147217235189,0.9069637883008357,0.9278597872981493,0.8914161063635225
spambase,tl,svm,0.9331877729257642,0.9490862734695117,0.9095237600778173,0.9407540394973071,0.9214484679665738,0.9448306271281179,0.9152903256101886
spambase,tl,mlp,0.9329694323144105,0.9500850298890293,0.9077550962695788,0.9393177737881508,0.9231197771587745,0.944579188336761,0.9151762729783929
spambase,tl,dt,0.881004366812227,0.9080997248357908,0.8445717592793163,0.8965888689407541,0.8568245125348188,0.9015947886834447,0.8490499434311977
spambase,tl,knn,0.9209606986899562,0.9567714226975964,0.8721801912607449,0.911310592459605,0.9359331476323121,0.9334013233387752,0.9027757624141579
spambase,noRes,lr,0.9148471615720524,0.9369105831971206,0.8823599405792104,0.9220825852782765,0.9036211699164346,0.9293847511453996,0.8927502826369059
spambase,noRes,svm,0.9336244541484715,0.9468191388601035,0.9137020757042021,0.9439856373429084,0.917548746518106,0.9453422414620875,0.9154902701238017
spambase,noRes,mlp,0.9342794759825328,0.9493294142987437,0.912229568265451,0.9425493716337522,0.9214484679665738,0.9457913339504399,0.9165160110944424
spambase,noRes,dt,0.8807860262008733,0.9011193319077812,0.853187732553083,0.9044883303411131,0.8440111420612812,0.9021723241926886,0.8470029745571107
spambase,noRes,knn,0.9255458515283843,0.9557185887458683,0.8833862187490181,0.9202872531418311,0.9337047353760447,0.9375939846632081,0.9077079670939368
